OPTIMIZED v2 (solver chooses donors) — 2026-07-06 08:31:16 (weekday 8:00)
stops 29 | distance 33.0 km | delivered 145/145   (greedy 42.0, v1 53.9)

 1. 문평동 옥봉 신탄진물류센터             +15 pick up    load=15
 2. 목상동 다사랑아파트 104동            -9 drop off    load=6
 3. 문평동 롯데칠성음료 대전공장            +8 pick up     load=14
 4. 봉산동 송강프라자 대각선 건너편          -8 drop off    load=6
 5. 신성동 수천이들근린공원               +8 pick up     load=14
 6. 신성동 대림두레(101동)             -11 drop off   load=3
 7. 장대동 장대네거리(학사마을)            +9 pick up     load=12
 8. 장대동 장대공원 내 놀이터 옆           -9 drop off    load=3
 9. 궁동 버스정류장(유성구청 방향)          +9 pick up     load=12
10. 월평1동 공영주차장 입구              -10 drop off   load=2
11. 월평동 월평타운                   +12 pick up    load=14
12. 월평동 진달래아파트 상가 앞            -10 drop off   load=4
13. 구성동 카이스트 정문                +10 pick up    load=14
14. 만년동 갑천네거리                  -10 drop off   load=4
15. 구성동 카이스트 세종관               +8 pick up     load=12
16. 만년동 행정복지센터                 -11 drop off   load=1
17. 둔산동 정부청사 입구(남문)            +18 pick up    load=19
18. 둔산동 세이브존                   -8 drop off    load=11
19. 둔산동 가람아파트 상가               -8 drop off    load=3
20. 오정동 노촌어린이공원                +11 pick up    load=14
21. 용문동 둔산더샵엘리프 2단지(204동)      -11 drop off   load=3
22. 용문역 1번출구                   +8 pick up     load=11
23. 용두동 하늘채엘센트로                -9 drop off    load=2
24. 태평동 계룡육교 아래                +8 pick up     load=10
25. 태평동 어린이공원                  +10 pick up    load=20
26. 가장동 래미안 210동 건너편(스타벅스 옆)   -9 drop off    load=11
27. 내동 맑은아침아파트 121동 입구         -11 drop off   load=0
28. 변동 변동네거리(복음천하교회)           +16 pick up    load=16
29. 태평동 동양파라곤 302동             -11 drop off   load=5

Saved route_map_optimized.html
