station_id,is_weekend,hour,target_bikes,capacity
ST0003,False,0,1,10
ST0003,False,1,1,10
ST0003,False,2,1,10
ST0003,False,3,1,10
ST0003,False,4,0,10
ST0003,False,5,0,10
ST0003,False,6,1,10
ST0003,False,7,1,10
ST0003,False,8,1,10
ST0003,False,9,1,10
ST0003,False,10,2,10
ST0003,False,11,2,10
ST0003,False,12,3,10
ST0003,False,13,2,10
ST0003,False,14,3,10
ST0003,False,15,2,10
ST0003,False,16,2,10
ST0003,False,17,2,10
ST0003,False,18,4,10
ST0003,False,19,5,10
ST0003,False,20,4,10
ST0003,False,21,2,10
ST0003,False,22,1,10
ST0003,False,23,1,10
ST0003,True,0,0,10
ST0003,True,1,0,10
ST0003,True,2,1,10
ST0003,True,3,1,10
ST0003,True,4,2,10
ST0003,True,5,0,10
ST0003,True,6,0,10
ST0003,True,7,0,10
ST0003,True,8,0,10
ST0003,True,9,1,10
ST0003,True,10,1,10
ST0003,True,11,4,10
ST0003,True,12,3,10
ST0003,True,13,1,10
ST0003,True,14,6,10
ST0003,True,15,2,10
ST0003,True,16,2,10
ST0003,True,17,1,10
ST0003,True,18,5,10
ST0003,True,19,3,10
ST0003,True,20,5,10
ST0003,True,21,2,10
ST0003,True,22,2,10
ST0003,True,23,1,10
ST0004,False,0,1,3
ST0004,False,1,1,3
ST0004,False,2,0,3
ST0004,False,3,1,3
ST0004,False,4,0,3
ST0004,False,5,0,3
ST0004,False,6,1,3
ST0004,False,7,0,3
ST0004,False,8,1,3
ST0004,False,9,0,3
ST0004,False,10,1,3
ST0004,False,11,1,3
ST0004,False,12,1,3
ST0004,False,13,1,3
ST0004,False,14,2,3
ST0004,False,15,2,3
ST0004,False,16,2,3
ST0004,False,17,2,3
ST0004,False,18,1,3
ST0004,False,19,3,3
ST0004,False,20,2,3
ST0004,False,21,1,3
ST0004,False,22,1,3
ST0004,False,23,1,3
ST0004,True,0,1,3
ST0004,True,1,0,3
ST0004,True,2,0,3
ST0004,True,3,1,3
ST0004,True,4,1,3
ST0004,True,5,1,3
ST0004,True,6,0,3
ST0004,True,7,1,3
ST0004,True,8,0,3
ST0004,True,9,1,3
ST0004,True,10,2,3
ST0004,True,11,1,3
ST0004,True,12,2,3
ST0004,True,13,0,3
ST0004,True,14,2,3
ST0004,True,15,0,3
ST0004,True,16,1,3
ST0004,True,17,1,3
ST0004,True,18,3,3
ST0004,True,19,1,3
ST0004,True,20,1,3
ST0004,True,21,1,3
ST0004,True,22,2,3
ST0004,True,23,1,3
ST0005,False,0,1,12
ST0005,False,1,1,12
ST0005,False,2,1,12
ST0005,False,3,1,12
ST0005,False,4,0,12
ST0005,False,5,0,12
ST0005,False,6,2,12
ST0005,False,7,3,12
ST0005,False,8,2,12
ST0005,False,9,1,12
ST0005,False,10,2,12
ST0005,False,11,2,12
ST0005,False,12,2,12
ST0005,False,13,3,12
ST0005,False,14,2,12
ST0005,False,15,4,12
ST0005,False,16,6,12
ST0005,False,17,3,12
ST0005,False,18,6,12
ST0005,False,19,3,12
